cidade,data,temperatura_maxima,temperatura_minima
Manaus,2021-06-21 19:37:41.600710,33.91,-3.97
São Paulo,2021-06-22 19:37:41.600710,24.08,13.62
Rio de Janeiro,2021-06-22 19:37:41.600710,31.81,-4.62
Belo Horizonte,2021-06-22 19:37:41.600710,16.32,3.52
Porto Alegre,2021-06-22 19:37:41.600710,29.26,2.64
Salvador,2021-06-22 19:37:41.600710,36.97,26.7
Curitiba,2021-06-22 19:37:41.600710,31.94,19.92
Fortaleza,2021-06-22 19:37:41.600710,31.05,3.18
Recife,2021-06-22 19:37:41.600710,30.76,-3.26
Brasília,2021-06-22 19:37:41.600710,19.79,-9.72
Manaus,2021-06-22 19:37:41.600710,28.45,15.5
São Paulo,2021-06-23 19:37:41.600710,33.02,12.36
Rio de Janeiro,2021-06-23 19:37:41.600710,27.01,12.66
Belo Horizonte,2021-06-23 19:37:41.600710,35.99,33.77
Porto Alegre,2021-06-23 19:37:41.600710,15.4,12.88
Salvador,2021-06-23 19:37:41.600710,28.28,3.94
Curitiba,2021-06-23 19:37:41.600710,19.61,13.79
Fortaleza,2021-06-23 19:37:41.600710,36.51,-7.49
Recife,2021-06-23 19:37:41.600710,21.22,-4.46
Brasília,2021-06-23 19:37:41.600710,30.53,23.42
Manaus,2021-06-23 19:37:41.600710,34.07,16.19
São Paulo,2021-06-24 19:37:41.600710,25.86,9.48
Rio de Janeiro,2021-06-24 19:37:41.600710,25.36,19.1
Belo Horizonte,2021-06-24 19:37:41.600710,22.53,-5.4
Porto Alegre,2021-06-24 19:37:41.600710,37.02,19.95
Salvador,2021-06-24 19:37:41.600710,25.33,4.69
Curitiba,2021-06-24 19:37:41.600710,31.76,28.89
Fortaleza,2021-06-24 19:37:41.600710,31.19,27.06
Recife,2021-06-24 19:37:41.600710,34.92,8.53
Brasília,2021-06-24 19:37:41.600710,30.96,16.8
Manaus,2021-06-24 19:37:41.600710,21.27,6.23
São Paulo,2021-06-25 19:37:41.600710,28.73,-6.55
Rio de Janeiro,2021-06-25 19:37:41.600710,36.67,13.67
Belo Horizonte,2021-06-25 19:37:41.600710,23.27,-7.8
Porto Alegre,2021-06-25 19:37:41.600710,39.51,5.41
Salvador,2021-06-25 19:37:41.600710,17.35,2.3
Curitiba,2021-06-25 19:37:41.600710,18.78,12.58
Fortaleza,2021-06-25 19:37:41.600710,28.3,17.94
Recife,2021-06-25 19:37:41.600710,28.24,20.92
Brasília,2021-06-25 19:37:41.600710,22.5,16.01
Manaus,2021-06-25 19:37:41.600710,34.14,12.38
São Paulo,2021-06-26 19:37:41.600710,22.42,-8.81
Rio de Janeiro,2021-06-26 19:37:41.600710,19.26,16.49
Belo Horizonte,2021-06-26 19:37:41.600710,15.74,2.51
Porto Alegre,2021-06-26 19:37:41.600710,26.46,11.32
Salvador,2021-06-26 19:37:41.600710,20.53,6.29
Curitiba,2021-06-26 19:37:41.600710,29.83,-0.28
Fortaleza,2021-06-26 19:37:41.600710,26.95,-6.33
Recife,2021-06-26 19:37:41.600710,21.7,14.45
Brasília,2021-06-26 19:37:41.600710,39.6,2.28
Manaus,2021-06-26 19:37:41.600710,17.84,-1.79
São Paulo,2021-06-27 19:37:41.600710,29.36,-5.7
Rio de Janeiro,2021-06-27 19:37:41.600710,25.58,0.56
Belo Horizonte,2021-06-27 19:37:41.600710,31.7,19.34
Porto Alegre,2021-06-27 19:37:41.600710,20.82,17.05
Salvador,2021-06-27 19:37:41.600710,21.54,9.2
Curitiba,2021-06-27 19:37:41.600710,37.35,25.5
Fortaleza,2021-06-27 19:37:41.600710,23.33,-6.93
Recife,2021-06-27 19:37:41.600710,29.86,17.06
Brasília,2021-06-27 19:37:41.600710,34.5,-4.12
Manaus,2021-06-27 19:37:41.600710,20.77,5.7
São Paulo,2021-06-28 19:37:41.600710,39.65,30.65
Rio de Janeiro,2021-06-28 19:37:41.600710,33.93,25.51
Belo Horizonte,2021-06-28 19:37:41.600710,20.58,14.81
Porto Alegre,2021-06-28 19:37:41.600710,30.97,14.68
Salvador,2021-06-28 19:37:41.600710,30.27,4.05
Curitiba,2021-06-28 19:37:41.600710,25.08,11.04
Fortaleza,2021-06-28 19:37:41.600710,39.56,17.93
Recife,2021-06-28 19:37:41.600710,19.49,-0.9
Brasília,2021-06-28 19:37:41.600710,20.57,13.21
Manaus,2021-06-28 19:37:41.600710,26.73,13.2
São Paulo,2021-06-29 19:37:41.600710,27.68,-3.53
Rio de Janeiro,2021-06-29 19:37:41.600710,18.45,-5.41
Belo Horizonte,2021-06-29 19:37:41.600710,20.77,-8.88
Porto Alegre,2021-06-29 19:37:41.600710,35.88,-7.51
Salvador,2021-06-29 19:37:41.600710,28.37,22.07
Curitiba,2021-06-29 19:37:41.600710,31.12,4.4
Fortaleza,2021-06-29 19:37:41.600710,38.09,0.85
Recife,2021-06-29 19:37:41.600710,25.91,20.17
Brasília,2021-06-29 19:37:41.600710,20.91,7.12
Manaus,2021-06-29 19:37:41.600710,15.87,-6.69
São Paulo,2021-06-30 19:37:41.600710,35.87,28.75
Rio de Janeiro,2021-06-30 19:37:41.600710,33.97,27.39
Belo Horizonte,2021-06-30 19:37:41.600710,19.02,-8.03
Porto Alegre,2021-06-30 19:37:41.600710,30.81,-6.78
Salvador,2021-06-30 19:37:41.600710,21.55,14.89
Curitiba,2021-06-30 19:37:41.600710,36.7,26.58
Fortaleza,2021-06-30 19:37:41.600710,25.96,12.34
Recife,2021-06-30 19:37:41.600710,24.95,-7.48
Brasília,2021-06-30 19:37:41.600710,17.49,7.88
Manaus,2021-06-30 19:37:41.600710,18.38,-6.71
São Paulo,2021-07-01 19:37:41.600710,25.83,8.31
Rio de Janeiro,2021-07-01 19:37:41.600710,31.85,20.31
Belo Horizonte,2021-07-01 19:37:41.600710,38.54,9.08
Porto Alegre,2021-07-01 19:37:41.600710,26.58,-8.63
Salvador,2021-07-01 19:37:41.600710,17.46,10.54
Curitiba,2021-07-01 19:37:41.600710,21.19,12.29
Fortaleza,2021-07-01 19:37:41.600710,15.12,-2.9
Recife,2021-07-01 19:37:41.600710,24.62,23.9
Brasília,2021-07-01 19:37:41.600710,22.18,20.83
Manaus,2021-07-01 19:37:41.600710,19.84,15.34
São Paulo,2021-07-02 19:37:41.600710,31.11,14.55
Rio de Janeiro,2021-07-02 19:37:41.600710,36.82,-9.88
Belo Horizonte,2021-07-02 19:37:41.600710,36.61,30.32
Porto Alegre,2021-07-02 19:37:41.600710,16.72,-7.2
Salvador,2021-07-02 19:37:41.600710,38.57,10.18
Curitiba,2021-07-02 19:37:41.600710,39.79,13.05
Fortaleza,2021-07-02 19:37:41.600710,17.73,-7.97
Recife,2021-07-02 19:37:41.600710,30.41,3.76
Brasília,2021-07-02 19:37:41.600710,22.13,19.61
Manaus,2021-07-02 19:37:41.600710,30.32,-4.9
São Paulo,2021-07-03 19:37:41.600710,29.19,15.15
Rio de Janeiro,2021-07-03 19:37:41.600710,36.48,-5.07
Belo Horizonte,2021-07-03 19:37:41.600710,18.84,-7.84
Porto Alegre,2021-07-03 19:37:41.600710,24.27,-3.44
Salvador,2021-07-03 19:37:41.600710,27.37,18.66
Curitiba,2021-07-03 19:37:41.600710,34.79,34.41
Fortaleza,2021-07-03 19:37:41.600710,39.33,21.61
Recife,2021-07-03 19:37:41.600710,17.8,13.27
Brasília,2021-07-03 19:37:41.600710,15.05,3.05
Manaus,2021-07-03 19:37:41.600710,33.02,23.11
São Paulo,2021-07-04 19:37:41.600710,17.34,13.06
Rio de Janeiro,2021-07-04 19:37:41.600710,30.68,29.02
Belo Horizonte,2021-07-04 19:37:41.600710,24.53,8.08
Porto Alegre,2021-07-04 19:37:41.600710,31.65,18.51
Salvador,2021-07-04 19:37:41.600710,16.88,0.12
Curitiba,2021-07-04 19:37:41.600710,16.33,-9.4
Fortaleza,2021-07-04 19:37:41.600710,33.25,14.17
Recife,2021-07-04 19:37:41.600710,27.34,23.78
Brasília,2021-07-04 19:37:41.600710,15.22,12.13
Manaus,2021-07-04 19:37:41.600710,28.81,17.64
São Paulo,2021-07-05 19:37:41.600710,33.37,6.02
Rio de Janeiro,2021-07-05 19:37:41.600710,37.39,11.96
Belo Horizonte,2021-07-05 19:37:41.600710,39.5,1.89
Porto Alegre,2021-07-05 19:37:41.600710,19.15,15.85
Salvador,2021-07-05 19:37:41.600710,22.0,14.68
Curitiba,2021-07-05 19:37:41.600710,16.53,-8.06
Fortaleza,2021-07-05 19:37:41.600710,35.92,24.33
Recife,2021-07-05 19:37:41.600710,33.23,13.84
Brasília,2021-07-05 19:37:41.600710,33.41,5.32
Manaus,2021-07-05 19:37:41.600710,32.89,-0.27
São Paulo,2021-07-06 19:37:41.600710,25.12,7.52
Rio de Janeiro,2021-07-06 19:37:41.600710,28.37,-0.56
Belo Horizonte,2021-07-06 19:37:41.600710,15.44,-9.36
Porto Alegre,2021-07-06 19:37:41.600710,27.07,3.4
Salvador,2021-07-06 19:37:41.600710,31.77,3.81
Curitiba,2021-07-06 19:37:41.600710,23.94,20.88
Fortaleza,2021-07-06 19:37:41.600710,16.61,12.03
Recife,2021-07-06 19:37:41.600710,36.5,2.36
Brasília,2021-07-06 19:37:41.600710,27.52,-6.64
Manaus,2021-07-06 19:37:41.600710,29.75,26.09
São Paulo,2021-07-07 19:37:41.600710,26.89,-6.4
Rio de Janeiro,2021-07-07 19:37:41.600710,32.21,24.42
Belo Horizonte,2021-07-07 19:37:41.600710,33.31,18.08
Porto Alegre,2021-07-07 19:37:41.600710,34.87,1.77
Salvador,2021-07-07 19:37:41.600710,34.08,14.44
Curitiba,2021-07-07 19:37:41.600710,36.16,26.73
Fortaleza,2021-07-07 19:37:41.600710,31.19,-5.7
Recife,2021-07-07 19:37:41.600710,34.19,-5.65
Brasília,2021-07-07 19:37:41.600710,15.48,4.24
Manaus,2021-07-07 19:37:41.600710,30.19,-1.05
São Paulo,2021-07-08 19:37:41.600710,25.26,-8.07
Rio de Janeiro,2021-07-08 19:37:41.600710,38.06,24.01
Belo Horizonte,2021-07-08 19:37:41.600710,15.94,-5.95
Porto Alegre,2021-07-08 19:37:41.600710,33.01,-0.01
Salvador,2021-07-08 19:37:41.600710,26.92,-9.46
Curitiba,2021-07-08 19:37:41.600710,24.7,-6.12
Fortaleza,2021-07-08 19:37:41.600710,24.05,11.01
Recife,2021-07-08 19:37:41.600710,31.1,5.34
Brasília,2021-07-08 19:37:41.600710,18.41,9.59
Manaus,2021-07-08 19:37:41.600710,31.4,28.57
São Paulo,2021-07-09 19:37:41.600710,19.68,-1.93
Rio de Janeiro,2021-07-09 19:37:41.600710,33.96,-2.64
Belo Horizonte,2021-07-09 19:37:41.600710,37.29,-0.85
Porto Alegre,2021-07-09 19:37:41.600710,36.36,26.92
Salvador,2021-07-09 19:37:41.600710,30.79,-7.96
Curitiba,2021-07-09 19:37:41.600710,27.83,25.8
Fortaleza,2021-07-09 19:37:41.600710,29.42,0.42
Recife,2021-07-09 19:37:41.600710,28.31,1.89
Brasília,2021-07-09 19:37:41.600710,18.9,2.88
Manaus,2021-07-09 19:37:41.600710,35.78,14.83
São Paulo,2021-07-10 19:37:41.600710,21.66,-8.51
Rio de Janeiro,2021-07-10 19:37:41.600710,18.49,-1.69
Belo Horizonte,2021-07-10 19:37:41.600710,36.97,6.21
Porto Alegre,2021-07-10 19:37:41.600710,18.34,-5.72
Salvador,2021-07-10 19:37:41.600710,16.27,10.33
Curitiba,2021-07-10 19:37:41.600710,28.94,24.98
Fortaleza,2021-07-10 19:37:41.600710,25.14,-3.64
Recife,2021-07-10 19:37:41.600710,16.21,4.68
Brasília,2021-07-10 19:37:41.600710,23.01,19.8
Manaus,2021-07-10 19:37:41.600710,31.73,24.38
São Paulo,2021-07-11 19:37:41.600710,20.35,4.05
Rio de Janeiro,2021-07-11 19:37:41.600710,30.94,3.68
Belo Horizonte,2021-07-11 19:37:41.600710,30.7,29.08
Porto Alegre,2021-07-11 19:37:41.600710,21.83,0.55
Salvador,2021-07-11 19:37:41.600710,34.8,28.4
Curitiba,2021-07-11 19:37:41.600710,15.76,14.26
Fortaleza,2021-07-11 19:37:41.600710,27.22,8.2
Recife,2021-07-11 19:37:41.600710,28.87,22.17
Brasília,2021-07-11 19:37:41.600710,33.04,7.09
Manaus,2021-07-11 19:37:41.600710,18.62,18.55
São Paulo,2021-07-12 19:37:41.600710,38.4,3.9
Rio de Janeiro,2021-07-12 19:37:41.600710,27.94,0.48
Belo Horizonte,2021-07-12 19:37:41.600710,32.18,4.49
Porto Alegre,2021-07-12 19:37:41.600710,38.04,27.83
Salvador,2021-07-12 19:37:41.600710,22.58,15.59
Curitiba,2021-07-12 19:37:41.600710,36.06,-1.59
Fortaleza,2021-07-12 19:37:41.600710,22.31,14.93
Recife,2021-07-12 19:37:41.600710,29.28,-8.27
Brasília,2021-07-12 19:37:41.600710,39.66,7.34
Manaus,2021-07-12 19:37:41.600710,17.52,7.4
São Paulo,2021-07-13 19:37:41.600710,37.32,37.3
Rio de Janeiro,2021-07-13 19:37:41.600710,20.16,-4.44
Belo Horizonte,2021-07-13 19:37:41.600710,35.12,19.33
Porto Alegre,2021-07-13 19:37:41.600710,34.17,34.08
Salvador,2021-07-13 19:37:41.600710,18.14,1.0
Curitiba,2021-07-13 19:37:41.600710,18.83,-6.69
Fortaleza,2021-07-13 19:37:41.600710,27.21,26.57
Recife,2021-07-13 19:37:41.600710,16.1,1.08
Brasília,2021-07-13 19:37:41.600710,24.39,3.16
Manaus,2021-07-13 19:37:41.600710,22.92,-6.74
São Paulo,2021-07-14 19:37:41.600710,20.33,17.15
Rio de Janeiro,2021-07-14 19:37:41.600710,33.72,-3.76
Belo Horizonte,2021-07-14 19:37:41.600710,19.76,8.36
Porto Alegre,2021-07-14 19:37:41.600710,35.0,34.61
Salvador,2021-07-14 19:37:41.600710,20.27,-4.4
Curitiba,2021-07-14 19:37:41.600710,25.19,22.33
Fortaleza,2021-07-14 19:37:41.600710,24.22,13.62
Recife,2021-07-14 19:37:41.600710,23.88,6.88
Brasília,2021-07-14 19:37:41.600710,28.35,-7.15
Manaus,2021-07-14 19:37:41.600710,26.8,15.33
São Paulo,2021-07-15 19:37:41.600710,27.99,-9.35
Rio de Janeiro,2021-07-15 19:37:41.600710,21.08,0.67
Belo Horizonte,2021-07-15 19:37:41.600710,17.21,-1.78
Porto Alegre,2021-07-15 19:37:41.600710,30.34,-9.06
Salvador,2021-07-15 19:37:41.600710,24.52,-2.49
Curitiba,2021-07-15 19:37:41.600710,34.37,7.46
Fortaleza,2021-07-15 19:37:41.600710,22.42,18.6
Recife,2021-07-15 19:37:41.600710,22.7,3.2
Brasília,2021-07-15 19:37:41.600710,25.14,7.94
Manaus,2021-07-15 19:37:41.600710,15.31,11.09
São Paulo,2021-07-16 19:37:41.600710,37.55,-9.54
Rio de Janeiro,2021-07-16 19:37:41.600710,24.96,13.7
Belo Horizonte,2021-07-16 19:37:41.600710,25.29,7.11
Porto Alegre,2021-07-16 19:37:41.600710,27.46,9.88
Salvador,2021-07-16 19:37:41.600710,20.8,8.85
Curitiba,2021-07-16 19:37:41.600710,18.53,-3.39
Fortaleza,2021-07-16 19:37:41.600710,17.85,6.8
Recife,2021-07-16 19:37:41.600710,24.36,2.23
Brasília,2021-07-16 19:37:41.600710,25.16,16.03
Manaus,2021-07-16 19:37:41.600710,26.22,1.16
São Paulo,2021-07-17 19:37:41.600710,37.25,-0.12
Rio de Janeiro,2021-07-17 19:37:41.600710,24.58,8.88
Belo Horizonte,2021-07-17 19:37:41.600710,37.95,-2.42
Porto Alegre,2021-07-17 19:37:41.600710,31.8,-7.83
Salvador,2021-07-17 19:37:41.600710,20.77,2.33
Curitiba,2021-07-17 19:37:41.600710,35.03,4.29
Fortaleza,2021-07-17 19:37:41.600710,28.53,18.46
Recife,2021-07-17 19:37:41.600710,22.39,20.73
Brasília,2021-07-17 19:37:41.600710,39.87,-3.07
Manaus,2021-07-17 19:37:41.600710,29.08,5.84
São Paulo,2021-07-18 19:37:41.600710,30.4,22.63
Rio de Janeiro,2021-07-18 19:37:41.600710,38.62,33.49
Belo Horizonte,2021-07-18 19:37:41.600710,29.62,13.07
Porto Alegre,2021-07-18 19:37:41.600710,26.87,-0.08
Salvador,2021-07-18 19:37:41.600710,29.46,-6.17
Curitiba,2021-07-18 19:37:41.600710,16.73,-2.8
Fortaleza,2021-07-18 19:37:41.600710,24.13,-8.82
Recife,2021-07-18 19:37:41.600710,38.5,18.52
Brasília,2021-07-18 19:37:41.600710,34.76,16.94
Manaus,2021-07-18 19:37:41.600710,27.59,-5.76
São Paulo,2021-07-19 19:37:41.600710,34.63,33.83
Rio de Janeiro,2021-07-19 19:37:41.600710,17.07,10.09
Belo Horizonte,2021-07-19 19:37:41.600710,21.58,14.19
Porto Alegre,2021-07-19 19:37:41.600710,24.97,7.42
Salvador,2021-07-19 19:37:41.600710,39.08,-2.7
Curitiba,2021-07-19 19:37:41.600710,33.77,23.55
Fortaleza,2021-07-19 19:37:41.600710,26.46,12.33
Recife,2021-07-19 19:37:41.600710,36.56,10.18
Brasília,2021-07-19 19:37:41.600710,36.23,12.51
Manaus,2021-07-19 19:37:41.600710,29.77,-6.78
São Paulo,2021-07-20 19:37:41.600710,25.24,24.93
Rio de Janeiro,2021-07-20 19:37:41.600710,15.44,0.36
Belo Horizonte,2021-07-20 19:37:41.600710,38.18,11.36
Porto Alegre,2021-07-20 19:37:41.600710,26.58,-7.64
Salvador,2021-07-20 19:37:41.600710,15.04,-9.77
Curitiba,2021-07-20 19:37:41.600710,31.49,7.38
Fortaleza,2021-07-20 19:37:41.600710,16.61,-7.68
Recife,2021-07-20 19:37:41.600710,27.73,17.35
Brasília,2021-07-20 19:37:41.600710,24.28,10.85
Manaus,2021-07-20 19:37:41.600710,38.55,30.88
São Paulo,2021-07-21 19:37:41.600710,27.32,5.13
Rio de Janeiro,2021-07-21 19:37:41.600710,33.88,31.72
Belo Horizonte,2021-07-21 19:37:41.600710,22.57,5.84
Porto Alegre,2021-07-21 19:37:41.600710,38.06,19.58
Salvador,2021-07-21 19:37:41.600710,37.19,-1.6
Curitiba,2021-07-21 19:37:41.600710,21.76,0.62
Fortaleza,2021-07-21 19:37:41.600710,26.48,23.82
Recife,2021-07-21 19:37:41.600710,15.69,4.13
Brasília,2021-07-21 19:37:41.600710,39.98,2.33
Manaus,2021-07-21 19:37:41.600710,28.45,23.95
São Paulo,2021-07-22 19:37:41.600710,30.77,-1.08
Rio de Janeiro,2021-07-22 19:37:41.600710,31.27,-8.52
Belo Horizonte,2021-07-22 19:37:41.600710,30.86,-5.88
Porto Alegre,2021-07-22 19:37:41.600710,24.47,-6.79
Salvador,2021-07-22 19:37:41.600710,20.91,19.16
Curitiba,2021-07-22 19:37:41.600710,31.83,6.5
Fortaleza,2021-07-22 19:37:41.600710,38.75,33.35
Recife,2021-07-22 19:37:41.600710,28.15,0.57
Brasília,2021-07-22 19:37:41.600710,17.66,-9.86
Manaus,2021-07-22 19:37:41.600710,34.61,22.18
São Paulo,2021-07-23 19:37:41.600710,25.55,-5.88
Rio de Janeiro,2021-07-23 19:37:41.600710,15.42,9.83
Belo Horizonte,2021-07-23 19:37:41.600710,24.41,4.97
Porto Alegre,2021-07-23 19:37:41.600710,30.79,28.27
Salvador,2021-07-23 19:37:41.600710,33.81,24.76
Curitiba,2021-07-23 19:37:41.600710,27.13,-9.76
Fortaleza,2021-07-23 19:37:41.600710,38.02,-9.12
Recife,2021-07-23 19:37:41.600710,18.6,13.77
Brasília,2021-07-23 19:37:41.600710,24.15,2.71
Manaus,2021-07-23 19:37:41.600710,20.39,18.72
São Paulo,2021-07-24 19:37:41.600710,27.72,14.14
Rio de Janeiro,2021-07-24 19:37:41.600710,36.69,17.6
Belo Horizonte,2021-07-24 19:37:41.600710,17.37,16.89
Porto Alegre,2021-07-24 19:37:41.600710,19.09,12.49
Salvador,2021-07-24 19:37:41.600710,17.94,13.18
Curitiba,2021-07-24 19:37:41.600710,25.64,19.46
Fortaleza,2021-07-24 19:37:41.600710,20.46,0.69
Recife,2021-07-24 19:37:41.600710,31.99,23.15
Brasília,2021-07-24 19:37:41.600710,35.66,17.62
Manaus,2021-07-24 19:37:41.600710,31.88,3.61
São Paulo,2021-07-25 19:37:41.600710,26.15,25.59
Rio de Janeiro,2021-07-25 19:37:41.600710,15.56,3.5
Belo Horizonte,2021-07-25 19:37:41.600710,26.93,18.35
Porto Alegre,2021-07-25 19:37:41.600710,20.7,11.91
Salvador,2021-07-25 19:37:41.600710,35.01,22.02
Curitiba,2021-07-25 19:37:41.600710,29.27,8.37
Fortaleza,2021-07-25 19:37:41.600710,31.82,28.2
Recife,2021-07-25 19:37:41.600710,21.64,6.38
Brasília,2021-07-25 19:37:41.600710,30.06,7.64
Manaus,2021-07-25 19:37:41.600710,19.65,-2.52
São Paulo,2021-07-26 19:37:41.600710,15.03,-8.33
Rio de Janeiro,2021-07-26 19:37:41.600710,35.25,27.89
Belo Horizonte,2021-07-26 19:37:41.600710,20.11,4.7
Porto Alegre,2021-07-26 19:37:41.600710,18.07,-1.07
Salvador,2021-07-26 19:37:41.600710,34.48,1.51
Curitiba,2021-07-26 19:37:41.600710,15.33,6.29
Fortaleza,2021-07-26 19:37:41.600710,39.43,34.68
Recife,2021-07-26 19:37:41.600710,28.51,23.24
Brasília,2021-07-26 19:37:41.600710,32.79,30.04
Manaus,2021-07-26 19:37:41.600710,38.4,20.22
São Paulo,2021-07-27 19:37:41.600710,16.34,8.95
Rio de Janeiro,2021-07-27 19:37:41.600710,27.8,-0.01
Belo Horizonte,2021-07-27 19:37:41.600710,34.73,31.39
Porto Alegre,2021-07-27 19:37:41.600710,17.16,3.89
Salvador,2021-07-27 19:37:41.600710,22.56,4.34
Curitiba,2021-07-27 19:37:41.600710,27.09,-5.36
Fortaleza,2021-07-27 19:37:41.600710,31.48,30.67
Recife,2021-07-27 19:37:41.600710,39.37,7.42
Brasília,2021-07-27 19:37:41.600710,37.27,3.14
Manaus,2021-07-27 19:37:41.600710,27.43,22.72
São Paulo,2021-07-28 19:37:41.600710,20.14,6.15
Rio de Janeiro,2021-07-28 19:37:41.600710,38.65,26.09
Belo Horizonte,2021-07-28 19:37:41.600710,28.56,-7.62
Porto Alegre,2021-07-28 19:37:41.600710,28.44,24.43
Salvador,2021-07-28 19:37:41.600710,38.97,-8.15
Curitiba,2021-07-28 19:37:41.600710,37.57,33.66
Fortaleza,2021-07-28 19:37:41.600710,26.81,9.83
Recife,2021-07-28 19:37:41.600710,32.86,-5.61
Brasília,2021-07-28 19:37:41.600710,22.18,-1.59
Manaus,2021-07-28 19:37:41.600710,23.35,-4.53
São Paulo,2021-07-29 19:37:41.600710,17.24,13.85
Rio de Janeiro,2021-07-29 19:37:41.600710,30.75,0.22
Belo Horizonte,2021-07-29 19:37:41.600710,31.81,29.49
Porto Alegre,2021-07-29 19:37:41.600710,34.59,-5.51
Salvador,2021-07-29 19:37:41.600710,17.17,-0.17
Curitiba,2021-07-29 19:37:41.600710,17.96,5.36
Fortaleza,2021-07-29 19:37:41.600710,33.0,18.34
Recife,2021-07-29 19:37:41.600710,24.67,21.19
Brasília,2021-07-29 19:37:41.600710,27.07,15.92
Manaus,2021-07-29 19:37:41.600710,35.04,26.84
São Paulo,2021-07-30 19:37:41.600710,34.91,-3.82
Rio de Janeiro,2021-07-30 19:37:41.600710,29.01,-5.2
Belo Horizonte,2021-07-30 19:37:41.600710,28.52,18.05
Porto Alegre,2021-07-30 19:37:41.600710,16.68,0.83
Salvador,2021-07-30 19:37:41.600710,17.76,14.23
Curitiba,2021-07-30 19:37:41.600710,23.5,6.97
Fortaleza,2021-07-30 19:37:41.600710,18.22,13.57
Recife,2021-07-30 19:37:41.600710,39.19,2.71
Brasília,2021-07-30 19:37:41.600710,34.96,10.14
Manaus,2021-07-30 19:37:41.600710,17.99,7.89
São Paulo,2021-07-31 19:37:41.600710,20.29,6.72
Rio de Janeiro,2021-07-31 19:37:41.600710,24.24,-8.81
Belo Horizonte,2021-07-31 19:37:41.600710,39.56,6.29
Porto Alegre,2021-07-31 19:37:41.600710,20.86,20.39
Salvador,2021-07-31 19:37:41.600710,34.13,20.99
Curitiba,2021-07-31 19:37:41.600710,34.69,12.71
Fortaleza,2021-07-31 19:37:41.600710,18.8,-9.29
Recife,2021-07-31 19:37:41.600710,20.2,17.93
Brasília,2021-07-31 19:37:41.600710,38.19,7.3
Manaus,2021-07-31 19:37:41.600710,18.82,12.95
São Paulo,2021-08-01 19:37:41.600710,34.21,-6.05
Rio de Janeiro,2021-08-01 19:37:41.600710,33.75,24.25
Belo Horizonte,2021-08-01 19:37:41.600710,31.65,5.41
Porto Alegre,2021-08-01 19:37:41.600710,32.69,24.2
Salvador,2021-08-01 19:37:41.600710,38.49,23.96
Curitiba,2021-08-01 19:37:41.600710,16.31,6.72
Fortaleza,2021-08-01 19:37:41.600710,38.69,15.1
Recife,2021-08-01 19:37:41.600710,20.0,-7.6
Brasília,2021-08-01 19:37:41.600710,26.79,-6.42
Manaus,2021-08-01 19:37:41.600710,36.24,10.25
São Paulo,2021-08-02 19:37:41.600710,27.64,-2.97
Rio de Janeiro,2021-08-02 19:37:41.600710,24.93,-4.17
Belo Horizonte,2021-08-02 19:37:41.600710,30.71,20.57
Porto Alegre,2021-08-02 19:37:41.600710,24.61,8.13
Salvador,2021-08-02 19:37:41.600710,15.61,-2.98
Curitiba,2021-08-02 19:37:41.600710,24.69,11.33
Fortaleza,2021-08-02 19:37:41.600710,36.42,0.65
Recife,2021-08-02 19:37:41.600710,23.27,5.66
Brasília,2021-08-02 19:37:41.600710,20.8,4.8
Manaus,2021-08-02 19:37:41.600710,36.65,17.76
São Paulo,2021-08-03 19:37:41.600710,35.52,20.52
Rio de Janeiro,2021-08-03 19:37:41.600710,38.07,10.57
Belo Horizonte,2021-08-03 19:37:41.600710,21.22,21.12
Porto Alegre,2021-08-03 19:37:41.600710,27.59,2.91
Salvador,2021-08-03 19:37:41.600710,33.73,4.94
Curitiba,2021-08-03 19:37:41.600710,37.43,22.71
Fortaleza,2021-08-03 19:37:41.600710,27.25,20.99
Recife,2021-08-03 19:37:41.600710,25.01,-6.93
Brasília,2021-08-03 19:37:41.600710,29.98,-6.47
Manaus,2021-08-03 19:37:41.600710,34.13,11.46
São Paulo,2021-08-04 19:37:41.600710,26.74,26.2
Rio de Janeiro,2021-08-04 19:37:41.600710,33.31,-5.44
Belo Horizonte,2021-08-04 19:37:41.600710,35.03,24.97
Porto Alegre,2021-08-04 19:37:41.600710,33.46,-1.5
Salvador,2021-08-04 19:37:41.600710,16.2,-4.19
Curitiba,2021-08-04 19:37:41.600710,15.9,3.42
Fortaleza,2021-08-04 19:37:41.600710,31.27,-7.75
Recife,2021-08-04 19:37:41.600710,34.9,0.86
Brasília,2021-08-04 19:37:41.600710,15.37,-7.38
Manaus,2021-08-04 19:37:41.600710,29.43,27.64
São Paulo,2021-08-05 19:37:41.600710,38.81,33.41
Rio de Janeiro,2021-08-05 19:37:41.600710,31.41,15.19
Belo Horizonte,2021-08-05 19:37:41.600710,15.19,9.45
Porto Alegre,2021-08-05 19:37:41.600710,30.77,-5.36
Salvador,2021-08-05 19:37:41.600710,34.34,31.47
Curitiba,2021-08-05 19:37:41.600710,24.41,-4.96
Fortaleza,2021-08-05 19:37:41.600710,32.75,18.8
Recife,2021-08-05 19:37:41.600710,36.98,12.57
Brasília,2021-08-05 19:37:41.600710,15.78,3.21
Manaus,2021-08-05 19:37:41.600710,24.68,21.41
São Paulo,2021-08-06 19:37:41.600710,36.17,8.01
Rio de Janeiro,2021-08-06 19:37:41.600710,16.31,-9.02
